user_id,register_date,country,device_type,acquisition_channel,plan_type,company_size
U000114,2025-09-25,US,Desktop,Social Media,Pro,201-1000
U000115,2025-06-18,Germany,Mobile,Google Ads,Pro,11-50
U000116,2025-10-28,France,Desktop,Email,Enterprise,51-200
U000117,2025-09-22,Canada,Desktop,Email,Pro,11-50
U000118,2024-07-30,US,Desktop,Social Media,Free,1-10
U000119,2025-11-08,India,Desktop,Google Ads,Enterprise,11-50
U000120,2025-04-22,US,Tablet,Social Media,Pro,11-50
U000121,2025-09-24,US,Mobile,Google Ads,Basic,11-50
U000122,2025-11-10,Canada,Mobile,Organic,Free,11-50
U000123,2024-11-18,France,Desktop,Social Media,Enterprise,11-50
U000124,2024-05-15,Brazil,Tablet,Google Ads,Basic,1-10
U000125,2024-09-05,US,Desktop,Organic,Pro,51-200
U000126,2025-02-06,France,Mobile,Google Ads,Free,1-10
U000127,2025-09-30,Germany,Desktop,Google Ads,Free,1-10
U000128,2025-10-22,UK,Mobile,Social Media,Enterprise,1000+
U000129,2024-01-11,India,Mobile,Social Media,Free,1-10
U000130,2025-04-03,US,Desktop,Email,Free,1-10
U000131,2025-01-30,Brazil,Desktop,Google Ads,Pro,11-50
U000132,2024-08-31,India,Mobile,Organic,Free,1-10
U000133,2024-05-26,US,Desktop,Social Media,Basic,201-1000
U000134,2024-12-03,US,Desktop,Google Ads,Free,1-10
U000135,2025-12-03,US,Desktop,Google Ads,Free,1-10
U000136,2024-11-22,US,Desktop,Organic,Free,11-50
U000137,2025-04-09,India,Mobile,Social Media,Free,1-10
U000138,2025-07-29,France,Desktop,Email,Free,1-10
U000139,2024-12-23,US,Desktop,Google Ads,Basic,51-200
U000140,2025-12-18,US,Mobile,Email,Basic,51-200
U000141,2025-12-13,India,Mobile,Google Ads,Free,1-10
U000142,2024-09-26,France,Desktop,Email,Free,1-10
U000143,2025-03-26,UK,Mobile,Organic,Free,11-50
U000144,2024-11-05,UK,Desktop,Google Ads,Pro,11-50
U000145,2024-10-23,India,Desktop,Organic,Enterprise,51-200
U000146,2024-02-20,US,Tablet,Google Ads,Free,1-10
U000147,2025-06-04,US,Tablet,Social Media,Free,1-10
U000148,2025-03-29,China,Desktop,Social Media,Pro,1-10
U000149,2024-03-09,Japan,Desktop,Email,Basic,11-50
U000150,2024-10-18,India,Desktop,Email,Free,11-50
U000151,2025-11-16,Brazil,Desktop,Organic,Pro,51-200
U000152,2024-09-15,China,Desktop,Google Ads,Pro,1-10
U000153,2024-06-20,US,Desktop,Social Media,Enterprise,201-1000
U000154,2025-03-20,UK,Tablet,Social Media,Free,11-50
U000155,2025-12-24,US,Mobile,Google Ads,Enterprise,11-50
U000156,2024-09-17,US,Desktop,Social Media,Basic,1-10
U000157,2025-07-11,China,Mobile,Email,Free,1-10
U000158,2025-08-30,Canada,Desktop,Organic,Basic,1-10
U000159,2024-09-14,Australia,Desktop,Google Ads,Basic,201-1000
U000160,2025-08-12,Japan,Desktop,Google Ads,Basic,11-50
U000161,2024-12-26,US,Mobile,Organic,Free,1-10
U000162,2025-06-18,US,Desktop,Social Media,Free,11-50
U000163,2025-06-18,France,Mobile,Google Ads,Free,1-10
U000164,2025-04-19,India,Mobile,Google Ads,Free,1-10
U000165,2024-04-24,Japan,Desktop,Social Media,Free,1-10
U000166,2025-10-09,Brazil,Desktop,Social Media,Enterprise,201-1000
U000167,2024-11-20,China,Mobile,Organic,Free,1-10
U000168,2024-07-30,France,Tablet,Organic,Free,1-10
U000169,2024-02-25,US,Mobile,Social Media,Free,1-10
U000170,2025-05-24,Brazil,Desktop,Organic,Basic,1-10
U000171,2025-07-14,Canada,Mobile,Google Ads,Free,11-50
U000172,2024-01-24,US,Desktop,Google Ads,Basic,51-200
U000173,2025-04-04,Japan,Tablet,Email,Free,11-50
U000174,2024-09-04,UK,Mobile,Google Ads,Free,11-50
U000175,2025-06-25,Australia,Mobile,Email,Free,51-200
U000176,2024-07-19,US,Desktop,Google Ads,Basic,1-10
U000177,2025-07-22,India,Mobile,Google Ads,Free,1-10
U000178,2025-01-09,US,Desktop,Email,Free,1-10
U000179,2025-11-30,China,Desktop,Google Ads,Pro,51-200
U000180,2024-06-13,US,Desktop,Organic,Free,1-10
U000181,2024-12-06,US,Tablet,Google Ads,Pro,11-50
U000182,2024-05-19,India,Mobile,Email,Free,1-10
U000183,2025-11-24,Canada,Desktop,Google Ads,Free,1-10
U000184,2025-10-31,US,Mobile,Google Ads,Basic,201-1000
U000185,2024-10-01,US,Desktop,Google Ads,Pro,51-200
U000186,2025-07-04,Brazil,Desktop,Email,Free,1-10
U000187,2025-09-30,India,Desktop,Organic,Basic,51-200
U000188,2025-05-02,Canada,Mobile,Google Ads,Free,1-10
U000189,2025-04-16,US,Desktop,Organic,Enterprise,51-200
U000190,2024-09-17,Japan,Desktop,Google Ads,Basic,11-50
U000191,2024-04-27,US,Mobile,Google Ads,Free,11-50
U000192,2025-11-10,US,Desktop,Organic,Free,11-50
U000193,2025-11-12,China,Mobile,Organic,Free,1-10
U000194,2025-06-18,India,Desktop,Google Ads,Free,1-10
U000195,2024-12-04,Brazil,Mobile,Organic,Free,1-10
U000196,2024-12-12,UK,Mobile,Organic,Basic,1-10
U000197,2025-08-11,Germany,Mobile,Google Ads,Free,51-200
U000198,2025-11-10,Germany,Desktop,Social Media,Basic,11-50
U000199,2025-11-05,Australia,Mobile,Social Media,Basic,1-10
U000200,2025-09-09,US,Desktop,Email,Free,11-50
U000201,2025-06-23,US,Mobile,Organic,Free,1-10
U000202,2024-04-17,UK,Desktop,Social Media,Free,201-1000
U000203,2024-07-07,India,Desktop,Google Ads,Free,11-50
U000204,2025-11-11,US,Mobile,Google Ads,Basic,1-10
U000205,2025-06-02,Canada,Mobile,Email,Free,11-50
U000206,2024-01-14,US,Desktop,Email,Free,1-10
U000207,2024-05-06,Canada,Tablet,Google Ads,Free,1-10
U000208,2025-07-06,US,Tablet,Organic,Free,11-50
U000209,2024-01-08,Japan,Mobile,Organic,Basic,11-50
U000210,2024-07-06,Canada,Desktop,Social Media,Basic,1-10
U000211,2025-04-28,US,Mobile,Organic,Free,11-50
U000212,2025-07-22,Australia,Desktop,Google Ads,Free,11-50
U000213,2025-06-29,Germany,Desktop,Google Ads,Free,1-10
U000214,2024-09-02,Australia,Tablet,Organic,Pro,11-50
U000215,2025-08-03,China,Tablet,Google Ads,Pro,51-200
U000216,2024-09-13,UK,Tablet,Organic,Enterprise,51-200
U000217,2024-11-24,US,Desktop,Social Media,Free,51-200
U000218,2025-08-22,UK,Desktop,Google Ads,Pro,1-10
U000219,2025-06-28,US,Desktop,Social Media,Pro,11-50
U000220,2025-10-16,US,Desktop,Social Media,Enterprise,51-200
U000221,2025-07-03,US,Desktop,Organic,Free,1-10
U000222,2025-05-10,Germany,Desktop,Social Media,Pro,51-200
U000223,2024-04-28,France,Mobile,Google Ads,Free,1-10
U000224,2024-12-26,US,Mobile,Email,Free,1-10
U000225,2024-10-07,US,Mobile,Social Media,Free,11-50
U000226,2024-09-19,Japan,Mobile,Social Media,Basic,1-10
U000227,2025-12-18,US,Desktop,Google Ads,Pro,11-50
U000228,2025-01-13,US,Desktop,Email,Free,1-10
U000229,2025-11-08,US,Mobile,Organic,Free,1-10
U000230,2025-06-17,Canada,Desktop,Social Media,Free,1-10
U000231,2025-09-18,France,Mobile,Google Ads,Free,1-10
U000232,2025-03-29,UK,Desktop,Google Ads,Free,1-10
U000233,2025-05-15,Japan,Desktop,Organic,Free,11-50
U000234,2025-03-22,India,Mobile,Google Ads,Pro,11-50
U000235,2024-08-07,China,Mobile,Organic,Free,11-50
U000236,2025-08-09,China,Tablet,Social Media,Basic,11-50
U000237,2024-10-20,Japan,Desktop,Social Media,Enterprise,201-1000
U000238,2024-02-04,US,Desktop,Email,Enterprise,201-1000
U000239,2025-06-26,US,Mobile,Social Media,Basic,11-50
U000240,2024-07-21,Germany,Desktop,Organic,Free,1-10
U000241,2025-12-02,Canada,Desktop,Organic,Pro,1000+
U000242,2025-12-09,India,Tablet,Email,Free,1-10
U000243,2025-11-19,France,Mobile,Organic,Pro,201-1000
U000244,2024-12-28,Australia,Tablet,Social Media,Pro,201-1000
U000245,2024-01-22,US,Desktop,Organic,Pro,1-10
U000246,2025-11-26,China,Desktop,Google Ads,Free,1-10
U000247,2025-02-07,China,Mobile,Social Media,Basic,1-10
U000248,2025-12-15,Australia,Desktop,Social Media,Pro,201-1000
U000249,2025-12-14,Australia,Mobile,Social Media,Pro,201-1000
U000250,2025-10-18,China,Desktop,Email,Free,1-10
U000251,2024-10-31,US,Mobile,Google Ads,Pro,11-50
U000252,2025-01-07,France,Mobile,Google Ads,Free,1-10
U000253,2025-10-17,US,Desktop,Email,Free,11-50
U000254,2024-11-17,Brazil,Desktop,Email,Basic,201-1000
U000255,2024-07-14,Canada,Mobile,Social Media,Free,1-10
U000256,2025-05-03,UK,Mobile,Email,Free,1-10
U000257,2025-11-30,Japan,Desktop,Organic,Pro,11-50
U000258,2025-07-25,Germany,Mobile,Social Media,Free,1-10
U000259,2025-05-11,Germany,Desktop,Email,Free,11-50
U000260,2024-05-01,UK,Desktop,Organic,Pro,51-200
U000261,2025-06-07,Brazil,Desktop,Organic,Enterprise,201-1000
U000262,2025-12-27,Australia,Tablet,Social Media,Basic,11-50
U000263,2024-06-15,Australia,Desktop,Google Ads,Free,1-10
U000264,2025-04-08,US,Desktop,Social Media,Free,1-10
U000265,2025-10-31,Canada,Mobile,Google Ads,Basic,51-200
U000266,2025-08-19,China,Desktop,Email,Free,11-50
U000267,2025-07-25,US,Desktop,Google Ads,Basic,11-50
U000268,2025-07-28,US,Desktop,Organic,Pro,11-50
U000269,2024-12-20,US,Mobile,Email,Free,1-10
U000270,2024-10-30,Canada,Mobile,Organic,Free,1-10
U000271,2025-09-25,Japan,Mobile,Organic,Pro,51-200
U000272,2025-09-26,China,Mobile,Organic,Basic,11-50
U000273,2025-10-26,US,Mobile,Google Ads,Free,1-10
U000274,2025-11-18,China,Mobile,Organic,Pro,201-1000
U000275,2025-04-04,US,Desktop,Organic,Enterprise,201-1000
U000276,2025-03-28,UK,Desktop,Social Media,Basic,11-50
U000277,2025-09-19,Japan,Mobile,Organic,Free,1-10
U000278,2025-06-28,US,Tablet,Google Ads,Enterprise,1000+
U000279,2025-07-28,France,Desktop,Google Ads,Basic,11-50
U000280,2025-09-18,US,Desktop,Google Ads,Free,1-10
U000281,2025-11-07,Japan,Desktop,Organic,Basic,11-50
U000282,2024-12-04,Germany,Desktop,Organic,Basic,11-50
U000283,2025-01-01,India,Desktop,Email,Pro,201-1000
U000284,2024-04-28,US,Desktop,Organic,Basic,201-1000
U000285,2025-05-16,US,Desktop,Email,Pro,51-200
U000286,2024-02-19,Canada,Mobile,Organic,Pro,201-1000
U000287,2025-03-05,US,Desktop,Email,Pro,1-10
U000288,2025-04-24,France,Mobile,Social Media,Basic,11-50
U000289,2024-10-24,Australia,Mobile,Social Media,Pro,201-1000
U000290,2025-05-24,US,Tablet,Google Ads,Free,1-10
U000291,2024-02-12,US,Mobile,Google Ads,Free,1-10
U000292,2024-02-21,China,Desktop,Social Media,Enterprise,1000+
U000293,2025-10-02,Australia,Tablet,Google Ads,Free,1-10
U000294,2024-12-20,Canada,Mobile,Google Ads,Free,1-10
U000295,2024-06-02,India,Desktop,Organic,Free,11-50
U000296,2025-04-11,France,Desktop,Organic,Free,11-50
U000297,2025-09-04,US,Desktop,Social Media,Pro,201-1000
U000298,2024-08-26,Australia,Desktop,Organic,Pro,51-200
U000299,2025-06-12,Australia,Desktop,Google Ads,Free,11-50
U000300,2024-04-18,US,Tablet,Organic,Pro,201-1000
U000301,2024-03-10,US,Desktop,Social Media,Free,1-10
U000302,2025-04-17,US,Mobile,Organic,Basic,51-200
U000303,2025-04-23,US,Mobile,Social Media,Free,1-10
U000304,2025-06-21,France,Mobile,Organic,Basic,1-10
U000305,2025-08-11,UK,Mobile,Organic,Free,1-10
U000306,2025-12-20,US,Tablet,Organic,Free,1-10
U000307,2025-04-07,UK,Desktop,Email,Pro,11-50
U000308,2024-11-22,Australia,Tablet,Organic,Free,1-10
U000309,2025-09-18,Japan,Mobile,Google Ads,Pro,11-50
U000310,2024-10-12,Germany,Desktop,Organic,Pro,1-10
U000311,2025-02-14,US,Mobile,Organic,Free,1-10
U000312,2024-04-10,Australia,Mobile,Social Media,Basic,51-200
U000313,2024-02-05,France,Tablet,Social Media,Free,51-200
U000314,2025-12-13,US,Desktop,Email,Free,11-50
U000315,2025-10-09,US,Mobile,Email,Pro,51-200
U000316,2025-07-25,US,Desktop,Google Ads,Free,11-50
U000317,2025-01-25,US,Desktop,Google Ads,Pro,11-50
U000318,2024-07-18,India,Desktop,Social Media,Basic,1-10
U000319,2024-07-02,Canada,Desktop,Social Media,Pro,51-200
U000320,2024-09-24,India,Mobile,Email,Free,11-50
U000321,2025-04-28,France,Desktop,Google Ads,Basic,51-200
U000322,2025-08-04,Germany,Desktop,Google Ads,Enterprise,201-1000
U000323,2025-07-04,China,Desktop,Organic,Free,1-10
U000324,2024-10-19,China,Desktop,Organic,Pro,201-1000
U000325,2025-12-09,US,Desktop,Email,Free,11-50
U000326,2025-08-17,UK,Desktop,Social Media,Basic,51-200
U000327,2025-05-01,Japan,Mobile,Social Media,Basic,51-200
U000328,2025-06-05,US,Desktop,Organic,Basic,1-10
U000329,2025-02-01,UK,Desktop,Google Ads,Free,1-10
U000330,2024-09-22,India,Desktop,Organic,Enterprise,51-200
U000331,2024-12-17,Australia,Mobile,Google Ads,Basic,1-10
U000332,2025-08-28,Germany,Desktop,Organic,Free,1-10
U000333,2024-01-21,France,Mobile,Email,Free,1-10
U000334,2024-05-22,Germany,Mobile,Google Ads,Basic,201-1000
U000335,2024-03-03,France,Mobile,Organic,Enterprise,1000+
U000336,2024-02-25,India,Desktop,Google Ads,Enterprise,1000+
U000337,2025-10-20,Canada,Mobile,Social Media,Pro,1-10
U000338,2025-07-29,Germany,Mobile,Organic,Free,1-10
U000339,2025-03-10,Japan,Desktop,Email,Enterprise,201-1000
U000340,2024-05-02,Japan,Mobile,Social Media,Pro,11-50
U000341,2025-03-22,Germany,Tablet,Social Media,Free,11-50
U000342,2025-03-10,US,Mobile,Organic,Free,51-200
U000343,2024-07-18,US,Mobile,Social Media,Free,1-10
U000344,2025-02-11,US,Mobile,Email,Free,11-50
U000345,2025-01-17,Canada,Mobile,Social Media,Free,1-10
U000346,2025-06-08,US,Mobile,Email,Free,11-50
U000347,2025-06-19,US,Mobile,Email,Free,1-10
U000348,2024-03-02,China,Mobile,Organic,Free,1-10
U000349,2024-12-31,UK,Desktop,Organic,Free,11-50
U000350,2025-06-14,India,Desktop,Email,Basic,51-200
U000351,2025-03-29,US,Mobile,Social Media,Free,11-50
U000352,2025-10-20,Australia,Desktop,Organic,Enterprise,201-1000
U000353,2025-07-03,Canada,Mobile,Organic,Pro,51-200
U000354,2024-07-08,Canada,Tablet,Google Ads,Pro,201-1000
U000355,2024-04-01,Germany,Mobile,Google Ads,Basic,201-1000
U000356,2025-06-24,Brazil,Tablet,Organic,Free,51-200
U000357,2024-02-06,US,Mobile,Organic,Free,11-50
U000358,2025-05-21,US,Desktop,Email,Free,11-50
U000359,2025-12-02,US,Mobile,Google Ads,Pro,51-200
U000360,2025-05-14,India,Desktop,Google Ads,Free,1-10
U000361,2025-01-10,Germany,Desktop,Google Ads,Basic,1-10
U000362,2025-06-24,India,Desktop,Social Media,Pro,201-1000
U000363,2025-02-28,US,Desktop,Google Ads,Enterprise,1000+
U000364,2025-04-26,Germany,Desktop,Social Media,Pro,51-200
U000365,2025-12-03,China,Desktop,Organic,Pro,51-200
U000366,2025-01-08,Germany,Mobile,Google Ads,Free,1-10
U000367,2025-12-12,China,Mobile,Social Media,Basic,11-50
U000368,2025-11-14,US,Desktop,Email,Free,1-10
U000369,2024-08-08,France,Desktop,Social Media,Enterprise,201-1000
U000370,2024-03-31,India,Mobile,Email,Free,51-200
U000371,2024-05-05,US,Mobile,Email,Free,1-10
U000372,2024-01-26,US,Tablet,Organic,Enterprise,201-1000
U000373,2024-04-28,Japan,Desktop,Google Ads,Basic,11-50
U000374,2025-07-17,France,Mobile,Social Media,Pro,1000+
U000375,2024-04-02,Germany,Desktop,Email,Pro,201-1000
U000376,2024-11-19,US,Mobile,Social Media,Pro,51-200
U000377,2025-10-14,Canada,Desktop,Google Ads,Free,1000+
U000378,2024-02-02,China,Desktop,Social Media,Free,1-10
U000379,2025-09-28,Germany,Desktop,Organic,Enterprise,51-200
U000380,2024-10-21,India,Desktop,Organic,Enterprise,201-1000
U000381,2024-05-24,US,Desktop,Social Media,Basic,1-10
U000382,2025-07-25,Japan,Mobile,Google Ads,Free,11-50
U000383,2025-06-16,UK,Mobile,Google Ads,Free,51-200
U000384,2025-10-31,Australia,Mobile,Google Ads,Pro,201-1000
U000385,2025-08-16,India,Desktop,Organic,Free,1-10
U000386,2025-09-22,India,Desktop,Social Media,Free,1-10
U000387,2024-10-21,India,Tablet,Organic,Basic,1-10
U000388,2024-07-22,Canada,Mobile,Google Ads,Free,1-10
U000389,2025-08-24,France,Desktop,Email,Enterprise,11-50
U000390,2025-09-24,Germany,Desktop,Social Media,Free,1-10
U000391,2025-12-27,China,Mobile,Organic,Free,11-50
U000392,2025-01-27,India,Desktop,Organic,Basic,51-200
U000393,2024-12-29,India,Desktop,Google Ads,Basic,1-10
U000394,2025-09-08,US,Mobile,Google Ads,Free,1-10
U000395,2024-12-06,Germany,Mobile,Google Ads,Free,1-10
U000396,2025-11-27,US,Mobile,Organic,Free,1-10
U000397,2025-10-21,Canada,Desktop,Google Ads,Enterprise,201-1000
U000398,2025-02-08,UK,Desktop,Google Ads,Free,1-10
U000399,2025-08-25,Australia,Tablet,Social Media,Enterprise,201-1000
U000400,2025-08-27,India,Mobile,Social Media,Basic,51-200
U000401,2024-05-08,Japan,Desktop,Organic,Free,1-10
U000402,2025-11-13,India,Desktop,Social Media,Free,11-50
U000403,2025-03-31,US,Desktop,Email,Free,1-10
U000404,2025-10-04,UK,Desktop,Social Media,Free,51-200
U000405,2024-11-20,US,Mobile,Google Ads,Free,1-10
U000406,2025-11-09,Japan,Tablet,Google Ads,Free,1-10
U000407,2025-01-10,Germany,Desktop,Organic,Pro,11-50
U000408,2024-01-16,Brazil,Desktop,Google Ads,Basic,11-50
U000409,2025-11-14,US,Mobile,Social Media,Free,1-10
U000410,2024-04-25,US,Desktop,Social Media,Basic,1000+
U000411,2024-11-19,Germany,Tablet,Organic,Pro,201-1000
U000412,2025-12-07,Canada,Mobile,Social Media,Free,1-10
U000413,2025-12-07,China,Tablet,Organic,Pro,51-200
U000414,2025-05-13,Germany,Desktop,Organic,Basic,11-50
U000415,2025-06-17,India,Desktop,Social Media,Enterprise,1000+
U000416,2025-02-21,US,Desktop,Social Media,Free,11-50
U000417,2024-10-30,Australia,Desktop,Email,Enterprise,201-1000
U000418,2024-11-26,China,Desktop,Social Media,Pro,51-200
U000419,2025-07-11,US,Tablet,Google Ads,Basic,51-200
U000420,2025-08-25,India,Mobile,Social Media,Free,1-10
U000421,2025-09-16,US,Mobile,Google Ads,Free,1-10
U000422,2025-09-15,Australia,Desktop,Organic,Enterprise,201-1000
U000423,2024-04-25,US,Mobile,Email,Free,51-200
U000424,2025-03-24,Japan,Mobile,Social Media,Free,1-10
U000425,2024-03-17,US,Desktop,Google Ads,Free,201-1000
U000426,2025-04-28,China,Tablet,Social Media,Free,1-10
U000427,2025-02-16,Brazil,Desktop,Organic,Pro,51-200
U000428,2025-11-05,China,Desktop,Google Ads,Basic,11-50
U000429,2024-12-13,Japan,Desktop,Organic,Basic,201-1000
U000430,2024-05-23,Canada,Mobile,Social Media,Free,1-10
U000431,2024-06-18,US,Mobile,Organic,Basic,11-50
U000432,2025-08-30,UK,Desktop,Google Ads,Basic,1-10
U000433,2025-06-09,US,Desktop,Email,Free,1-10
U000434,2024-05-06,Australia,Desktop,Social Media,Free,51-200
U000435,2024-04-17,UK,Desktop,Google Ads,Free,1-10
U000436,2025-07-28,China,Desktop,Social Media,Enterprise,1000+
U000437,2024-04-04,China,Desktop,Social Media,Pro,1000+
U000438,2025-10-02,US,Desktop,Email,Enterprise,11-50
U000439,2025-07-31,US,Mobile,Email,Free,11-50
U000440,2024-04-14,US,Desktop,Google Ads,Pro,11-50
U000441,2024-04-18,Germany,Mobile,Organic,Basic,1-10
U000442,2025-12-25,US,Desktop,Social Media,Basic,11-50
U000443,2024-12-31,US,Desktop,Organic,Free,11-50
U000444,2024-12-28,Canada,Desktop,Social Media,Pro,51-200
