subscription_id,user_id,payment_date,amount,subscription_type,payment_status
S000074,U000065,2024-12-21,34.09,Monthly,Success
S000075,U000065,2025-01-20,34.04,Monthly,Success
S000076,U000065,2025-02-19,34.14,Monthly,Success
S000077,U000065,2025-03-20,34.45,Monthly,Success
S000078,U000065,2025-04-20,34.82,Monthly,Success
S000079,U000065,2025-05-19,34.12,Monthly,Success
S000080,U000067,2024-06-16,36.25,Monthly,Success
S000081,U000067,2024-07-17,36.3,Monthly,Success
S000082,U000067,2024-08-15,34.41,Monthly,Success
S000083,U000067,2024-09-16,35.15,Monthly,Success
S000084,U000067,2024-10-15,33.92,Monthly,Success
S000085,U000067,2024-11-14,34.83,Monthly,Success
S000086,U000067,2024-12-14,35.48,Monthly,Success
S000087,U000067,2025-01-14,34.83,Monthly,Success
S000088,U000067,2025-02-11,35.19,Monthly,Success
S000089,U000067,2025-03-14,34.73,Monthly,Success
S000090,U000067,2025-04-13,36.1,Monthly,Success
S000091,U000067,2025-05-12,36.5,Monthly,Success
S000092,U000067,2025-06-12,36.36,Monthly,Success
S000093,U000067,2025-07-12,33.94,Monthly,Success
S000094,U000067,2025-08-11,34.97,Monthly,Success
S000095,U000067,2025-09-09,36.31,Monthly,Success
S000096,U000068,2025-09-21,35.01,Monthly,Success
S000097,U000069,2024-04-09,960.68,Annual,Success
S000098,U000069,2025-04-08,1003.58,Annual,Success
S000099,U000072,2024-08-11,33.96,Monthly,Success
S000100,U000072,2024-09-09,35.89,Monthly,Success
S000101,U000072,2024-10-11,33.57,Monthly,Success
S000102,U000075,2025-07-31,968.15,Annual,Success
S000103,U000079,2024-12-25,983.65,Annual,Success
S000104,U000081,2025-10-25,11.63,Monthly,Success
S000105,U000081,2025-11-24,12.44,Monthly,Success
S000106,U000082,2025-06-13,35.56,Monthly,Success
S000107,U000082,2025-07-12,35.25,Monthly,Success
S000108,U000082,2025-08-13,36.68,Monthly,Success
S000109,U000082,2025-09-10,35.95,Monthly,Success
S000110,U000082,2025-10-10,34.72,Monthly,Success
S000111,U000082,2025-11-11,34.41,Monthly,Success
S000112,U000086,2024-11-30,117.98,Annual,Success
S000113,U000088,2025-06-21,945.23,Annual,Success
S000114,U000089,2025-11-05,12.32,Monthly,Success
S000115,U000090,2025-03-09,12.57,Monthly,Success
S000116,U000090,2025-04-09,12.46,Monthly,Success
S000117,U000090,2025-05-09,12.42,Monthly,Success
S000118,U000090,2025-06-07,11.65,Monthly,Success
S000119,U000090,2025-07-09,11.85,Monthly,Success
S000120,U000090,2025-08-06,11.75,Monthly,Success
S000121,U000090,2025-09-07,11.99,Monthly,Success
S000122,U000090,2025-10-06,11.5,Monthly,Success
S000123,U000092,2025-08-05,11.97,Monthly,Success
S000124,U000092,2025-09-03,12.34,Monthly,Success
S000125,U000092,2025-10-05,11.97,Monthly,Success
S000126,U000095,2025-09-07,34.54,Monthly,Success
S000127,U000096,2025-03-24,12.16,Monthly,Success
S000128,U000096,2025-04-22,11.69,Monthly,Success
S000129,U000096,2025-05-23,12.1,Monthly,Success
S000130,U000096,2025-06-23,12.13,Monthly,Success
S000131,U000096,2025-07-22,11.87,Monthly,Success
S000132,U000097,2025-04-11,11.44,Monthly,Success
S000133,U000097,2025-05-12,12.5,Monthly,Success
S000134,U000097,2025-06-10,12.54,Monthly,Success
S000135,U000097,2025-07-12,12.07,Monthly,Success
S000136,U000097,2025-08-09,11.84,Monthly,Success
S000137,U000097,2025-09-09,11.49,Monthly,Success
S000138,U000097,2025-10-09,11.47,Monthly,Success
S000139,U000099,2024-02-10,119.93,Annual,Success
S000140,U000102,2025-06-22,12.17,Monthly,Success
S000141,U000102,2025-07-21,12.5,Monthly,Success
S000142,U000102,2025-08-20,12.46,Monthly,Success
S000143,U000102,2025-09-19,11.74,Monthly,Success
S000144,U000104,2025-04-02,34.3,Monthly,Success
S000145,U000104,2025-05-02,36.31,Monthly,Success
S000146,U000104,2025-06-02,36.19,Monthly,Success
S000147,U000104,2025-07-01,34.91,Monthly,Success
S000148,U000104,2025-08-02,34.04,Monthly,Success
S000149,U000104,2025-08-31,33.7,Monthly,Success
S000150,U000104,2025-10-01,35.79,Monthly,Success
S000151,U000108,2025-08-27,11.81,Monthly,Success
S000152,U000108,2025-09-26,12.12,Monthly,Success
S000153,U000108,2025-10-28,11.45,Monthly,Success
S000154,U000109,2024-09-08,336.2,Annual,Success
S000155,U000112,2024-07-10,1002.88,Annual,Success
S000156,U000112,2025-07-07,1037.96,Annual,Success
S000157,U000113,2025-11-29,12.32,Monthly,Success
S000158,U000114,2025-09-27,333.84,Annual,Success
S000159,U000115,2025-06-20,335.23,Annual,Success
S000160,U000116,2025-10-30,99.23,Monthly,Success
S000161,U000117,2025-09-22,34.45,Monthly,Success
S000162,U000119,2025-11-08,996.53,Annual,Success
S000163,U000120,2025-04-26,355.17,Annual,Failed
S000164,U000121,2025-09-24,12.53,Monthly,Success
S000165,U000123,2024-11-20,971.45,Annual,Success
S000166,U000124,2024-05-15,12.01,Monthly,Success
S000167,U000125,2024-09-07,35.25,Monthly,Success
S000168,U000125,2024-10-05,35.45,Monthly,Success
S000169,U000125,2024-11-06,33.39,Monthly,Success
S000170,U000125,2024-12-05,35.6,Monthly,Success
S000171,U000125,2025-01-03,36.58,Monthly,Success
S000172,U000125,2025-02-03,34.0,Monthly,Success
S000173,U000125,2025-03-04,33.3,Monthly,Success
S000174,U000125,2025-04-04,33.62,Monthly,Success
S000175,U000125,2025-05-04,33.62,Monthly,Success
S000176,U000125,2025-06-03,35.32,Monthly,Success
S000177,U000125,2025-07-02,35.58,Monthly,Success
S000178,U000125,2025-08-03,34.34,Monthly,Failed
S000179,U000125,2025-09-02,33.87,Monthly,Success
S000180,U000125,2025-10-01,33.93,Monthly,Success
S000181,U000125,2025-10-30,34.0,Monthly,Success
S000182,U000125,2025-11-29,35.15,Monthly,Success
S000183,U000128,2025-10-24,95.38,Monthly,Success
S000184,U000128,2025-11-22,100.05,Monthly,Success
S000185,U000131,2025-02-05,364.19,Annual,Success
S000186,U000133,2024-05-27,116.74,Annual,Success
S000187,U000133,2025-05-29,118.25,Annual,Success
S000188,U000139,2024-12-23,12.31,Monthly,Success
S000189,U000139,2025-01-23,12.48,Monthly,Success
S000190,U000139,2025-02-23,12.03,Monthly,Success
S000191,U000139,2025-03-24,11.67,Monthly,Success
S000192,U000139,2025-04-22,12.38,Monthly,Success
S000193,U000140,2025-12-18,11.65,Monthly,Success
S000194,U000144,2024-11-06,337.72,Annual,Success
S000195,U000145,2024-10-24,103.81,Monthly,Success
S000196,U000145,2024-11-23,97.47,Monthly,Success
S000197,U000145,2024-12-23,94.58,Monthly,Success
S000198,U000145,2025-01-23,97.72,Monthly,Success
S000199,U000145,2025-02-22,100.04,Monthly,Success
S000200,U000145,2025-03-22,96.66,Monthly,Success
S000201,U000145,2025-04-21,95.66,Monthly,Success
S000202,U000145,2025-05-21,100.27,Monthly,Success
S000203,U000145,2025-06-21,103.52,Monthly,Success
S000204,U000145,2025-07-22,94.69,Monthly,Success
S000205,U000145,2025-08-21,99.99,Monthly,Success
S000206,U000148,2025-03-30,34.51,Monthly,Success
S000207,U000148,2025-04-30,35.28,Monthly,Success
S000208,U000148,2025-05-28,35.81,Monthly,Success
S000209,U000148,2025-06-27,33.38,Monthly,Success
S000210,U000148,2025-07-28,35.49,Monthly,Success
S000211,U000148,2025-08-26,34.08,Monthly,Success
S000212,U000148,2025-09-26,35.95,Monthly,Success
S000213,U000149,2024-03-10,12.47,Monthly,Success
S000214,U000149,2024-04-09,12.45,Monthly,Success
S000215,U000149,2024-05-08,11.71,Monthly,Success
S000216,U000151,2025-11-18,34.63,Monthly,Success
S000217,U000152,2024-09-16,345.22,Annual,Success
S000218,U000152,2025-09-21,343.04,Annual,Success
S000219,U000153,2024-06-26,984.46,Annual,Success
S000220,U000155,2025-12-25,979.9,Annual,Success
S000221,U000156,2024-09-23,122.14,Annual,Success
S000222,U000156,2025-09-19,118.32,Annual,Success
S000223,U000158,2025-08-30,12.28,Monthly,Success
S000224,U000158,2025-10-01,12.51,Monthly,Success
S000225,U000158,2025-10-31,11.68,Monthly,Success
S000226,U000159,2024-09-16,12.52,Monthly,Success
S000227,U000159,2024-10-15,11.4,Monthly,Success
S000228,U000159,2024-11-13,12.51,Monthly,Success
S000229,U000160,2025-08-12,12.49,Monthly,Success
S000230,U000160,2025-09-13,11.96,Monthly,Success
S000231,U000160,2025-10-11,12.52,Monthly,Success
S000232,U000166,2025-10-15,1010.65,Annual,Success
S000233,U000170,2025-05-24,11.47,Monthly,Success
S000234,U000170,2025-06-25,12.27,Monthly,Success
S000235,U000170,2025-07-25,12.56,Monthly,Success
S000236,U000170,2025-08-23,12.52,Monthly,Success
S000237,U000170,2025-09-22,12.42,Monthly,Success
S000238,U000170,2025-10-22,11.88,Monthly,Success
S000239,U000172,2024-01-25,12.27,Monthly,Success
S000240,U000172,2024-02-25,11.48,Monthly,Success
S000241,U000172,2024-03-25,11.5,Monthly,Success
S000242,U000172,2024-04-23,12.01,Monthly,Success
S000243,U000176,2024-07-19,11.74,Monthly,Success
S000244,U000179,2025-12-05,345.56,Annual,Success
S000245,U000181,2024-12-07,34.05,Monthly,Success
S000246,U000181,2025-01-05,36.29,Monthly,Success
S000247,U000181,2025-02-06,36.3,Monthly,Success
S000248,U000181,2025-03-07,35.66,Monthly,Success
S000249,U000181,2025-04-06,33.67,Monthly,Success
S000250,U000184,2025-10-31,11.47,Monthly,Success
S000251,U000185,2024-10-07,362.48,Annual,Success
S000252,U000187,2025-10-02,11.57,Monthly,Success
S000253,U000187,2025-11-01,11.95,Monthly,Success
S000254,U000189,2025-04-16,98.22,Monthly,Success
S000255,U000189,2025-05-16,99.95,Monthly,Success
S000256,U000189,2025-06-16,96.52,Monthly,Success
S000257,U000189,2025-07-15,97.71,Monthly,Success
S000258,U000190,2024-09-18,12.45,Monthly,Success
S000259,U000190,2024-10-18,11.91,Monthly,Success
S000260,U000190,2024-11-17,11.6,Monthly,Success
S000261,U000196,2024-12-13,11.89,Monthly,Success
S000262,U000196,2025-01-11,12.53,Monthly,Success
S000263,U000196,2025-02-11,11.93,Monthly,Success
S000264,U000198,2025-11-10,11.54,Monthly,Success
S000265,U000199,2025-11-05,11.69,Monthly,Success
S000266,U000204,2025-11-13,12.14,Monthly,Success
S000267,U000209,2024-01-08,11.92,Monthly,Success
S000268,U000209,2024-02-09,11.63,Monthly,Success
S000269,U000209,2024-03-08,11.78,Monthly,Success
S000270,U000209,2024-04-09,11.49,Monthly,Success
S000271,U000209,2024-05-09,11.44,Monthly,Success
S000272,U000209,2024-06-07,11.68,Monthly,Success
S000273,U000209,2024-07-06,12.51,Monthly,Success
S000274,U000209,2024-08-07,12.3,Monthly,Success
S000275,U000210,2024-07-06,122.04,Annual,Success
S000276,U000210,2025-07-11,122.34,Annual,Success
S000277,U000214,2024-09-02,334.5,Annual,Success
S000278,U000215,2025-08-05,34.26,Monthly,Success
S000279,U000215,2025-09-03,35.8,Monthly,Success
S000280,U000216,2024-09-16,1015.69,Annual,Success
S000281,U000218,2025-08-24,33.58,Monthly,Success
S000282,U000218,2025-09-23,33.32,Monthly,Success
S000283,U000219,2025-06-30,358.6,Annual,Success
S000284,U000220,2025-10-16,100.97,Monthly,Success
S000285,U000222,2025-05-12,36.62,Monthly,Success
S000286,U000222,2025-06-11,33.46,Monthly,Success
S000287,U000222,2025-07-09,36.56,Monthly,Success
S000288,U000222,2025-08-10,35.53,Monthly,Success
S000289,U000222,2025-09-08,34.05,Monthly,Success
S000290,U000226,2024-09-20,12.57,Monthly,Success
S000291,U000226,2024-10-20,11.53,Monthly,Success
S000292,U000226,2024-11-19,12.2,Monthly,Success
S000293,U000226,2024-12-19,12.28,Monthly,Success
S000294,U000226,2025-01-19,11.83,Monthly,Success
S000295,U000226,2025-02-16,12.38,Monthly,Success
S000296,U000226,2025-03-19,11.42,Monthly,Failed
S000297,U000226,2025-04-19,11.94,Monthly,Success
S000298,U000226,2025-05-18,12.2,Monthly,Success
S000299,U000227,2025-12-21,342.89,Annual,Success
S000300,U000234,2025-03-22,336.26,Annual,Success
S000301,U000236,2025-08-09,11.56,Monthly,Success
S000302,U000237,2024-10-25,967.34,Annual,Success
S000303,U000238,2024-02-05,1033.62,Annual,Success
S000304,U000239,2025-06-27,124.6,Annual,Success
S000305,U000241,2025-12-04,35.79,Monthly,Success
S000306,U000243,2025-11-19,34.2,Monthly,Success
S000307,U000244,2025-01-01,350.66,Annual,Success
S000308,U000244,2025-12-29,357.61,Annual,Success
S000309,U000245,2024-01-24,333.61,Annual,Success
S000310,U000245,2025-01-21,356.05,Annual,Success
S000311,U000247,2025-02-08,12.43,Monthly,Success
S000312,U000247,2025-03-11,12.44,Monthly,Success
S000313,U000248,2025-12-20,346.94,Annual,Success
S000314,U000249,2025-12-16,35.87,Monthly,Success
S000315,U000251,2024-11-02,359.38,Annual,Success
S000316,U000254,2024-11-22,115.28,Annual,Success
S000317,U000257,2025-12-03,358.38,Annual,Success
S000318,U000260,2024-05-01,33.67,Monthly,Success
S000319,U000260,2024-05-31,34.15,Monthly,Success
S000320,U000260,2024-07-02,35.13,Monthly,Success
S000321,U000260,2024-08-01,35.03,Monthly,Success
S000322,U000260,2024-08-30,33.39,Monthly,Success
S000323,U000260,2024-09-30,34.74,Monthly,Success
S000324,U000260,2024-10-28,34.32,Monthly,Success
S000325,U000260,2024-11-29,34.22,Monthly,Success
S000326,U000260,2024-12-28,34.07,Monthly,Success
S000327,U000261,2025-06-10,1009.48,Annual,Success
S000328,U000262,2025-12-29,12.59,Monthly,Success
S000329,U000265,2025-10-31,114.81,Annual,Success
S000330,U000267,2025-07-25,11.76,Monthly,Success
S000331,U000267,2025-08-26,12.37,Monthly,Success
S000332,U000267,2025-09-24,11.96,Monthly,Success
S000333,U000267,2025-10-25,12.24,Monthly,Failed
S000334,U000267,2025-11-23,12.01,Monthly,Success
S000335,U000268,2025-07-28,33.92,Monthly,Success
S000336,U000268,2025-08-28,35.04,Monthly,Success
S000337,U000268,2025-09-27,36.59,Monthly,Success
S000338,U000268,2025-10-28,34.75,Monthly,Success
S000339,U000268,2025-11-27,35.45,Monthly,Success
S000340,U000271,2025-09-26,34.27,Monthly,Success
S000341,U000271,2025-10-26,33.84,Monthly,Success
S000342,U000272,2025-09-28,12.13,Monthly,Success
S000343,U000272,2025-10-27,11.72,Monthly,Success
S000344,U000274,2025-11-18,34.28,Monthly,Success
S000345,U000275,2025-04-10,962.44,Annual,Success
S000346,U000276,2025-03-30,12.44,Monthly,Success
S000347,U000278,2025-07-02,1006.55,Annual,Success
S000348,U000279,2025-07-30,11.77,Monthly,Success
S000349,U000279,2025-08-28,11.6,Monthly,Success
S000350,U000279,2025-09-26,12.57,Monthly,Success
S000351,U000281,2025-11-07,12.21,Monthly,Success
S000352,U000282,2024-12-06,11.81,Monthly,Success
S000353,U000283,2025-01-02,36.58,Monthly,Success
S000354,U000283,2025-02-02,35.25,Monthly,Success
S000355,U000283,2025-03-02,36.45,Monthly,Success
S000356,U000283,2025-04-03,35.68,Monthly,Failed
S000357,U000283,2025-05-03,33.47,Monthly,Success
S000358,U000283,2025-05-31,35.88,Monthly,Success
S000359,U000284,2024-04-30,123.01,Annual,Success
S000360,U000285,2025-05-17,34.61,Monthly,Success
S000361,U000285,2025-06-17,34.34,Monthly,Success
S000362,U000285,2025-07-16,36.05,Monthly,Success
S000363,U000285,2025-08-15,34.94,Monthly,Success
S000364,U000285,2025-09-13,33.92,Monthly,Success
S000365,U000285,2025-10-15,34.68,Monthly,Success
S000366,U000286,2024-02-21,35.71,Monthly,Refunded
S000367,U000286,2024-03-20,34.22,Monthly,Success
S000368,U000286,2024-04-19,33.97,Monthly,Success
S000369,U000286,2024-05-20,34.31,Monthly,Success
S000370,U000286,2024-06-18,34.55,Monthly,Success
S000371,U000286,2024-07-18,34.79,Monthly,Success
S000372,U000286,2024-08-18,34.1,Monthly,Success
S000373,U000286,2024-09-16,34.37,Monthly,Success
S000374,U000286,2024-10-18,34.74,Monthly,Success
S000375,U000287,2025-03-07,366.07,Annual,Success
S000376,U000288,2025-04-26,11.85,Monthly,Success
S000377,U000288,2025-05-25,12.33,Monthly,Success
S000378,U000288,2025-06-23,12.28,Monthly,Success
S000379,U000288,2025-07-23,12.13,Monthly,Success
S000380,U000288,2025-08-22,12.38,Monthly,Success
S000381,U000288,2025-09-21,11.5,Monthly,Success
S000382,U000288,2025-10-21,12.01,Monthly,Success
S000383,U000289,2024-10-27,351.54,Annual,Success
S000384,U000292,2024-02-26,954.94,Annual,Success
S000385,U000297,2025-09-04,346.84,Annual,Success
S000386,U000298,2024-08-27,34.22,Monthly,Success
S000387,U000300,2024-04-20,34.95,Monthly,Success
S000388,U000300,2024-05-19,33.9,Monthly,Success
S000389,U000300,2024-06-19,36.69,Monthly,Success
S000390,U000300,2024-07-19,36.36,Monthly,Success
S000391,U000300,2024-08-17,36.41,Monthly,Success
S000392,U000300,2024-09-16,34.63,Monthly,Success
S000393,U000300,2024-10-17,35.91,Monthly,Success
S000394,U000300,2024-11-16,36.13,Monthly,Success
S000395,U000300,2024-12-15,35.97,Monthly,Success
S000396,U000300,2025-01-13,34.63,Monthly,Success
S000397,U000302,2025-04-18,11.5,Monthly,Success
S000398,U000302,2025-05-17,12.07,Monthly,Success
S000399,U000304,2025-06-21,11.68,Monthly,Success
S000400,U000304,2025-07-21,11.6,Monthly,Success
S000401,U000304,2025-08-21,12.29,Monthly,Success
S000402,U000307,2025-04-09,362.28,Annual,Success
S000403,U000309,2025-09-20,33.26,Monthly,Success
S000404,U000309,2025-10-20,34.62,Monthly,Success
S000405,U000309,2025-11-17,33.44,Monthly,Success
S000406,U000310,2024-10-14,34.72,Monthly,Success
S000407,U000310,2024-11-11,35.83,Monthly,Success
S000408,U000310,2024-12-13,34.34,Monthly,Success
S000409,U000310,2025-01-11,33.63,Monthly,Success
S000410,U000310,2025-02-10,35.55,Monthly,Failed
S000411,U000310,2025-03-11,36.5,Monthly,Success
S000412,U000310,2025-04-12,35.14,Monthly,Success
S000413,U000310,2025-05-11,36.58,Monthly,Success
S000414,U000310,2025-06-10,36.5,Monthly,Success
S000415,U000310,2025-07-11,35.84,Monthly,Success
S000416,U000310,2025-08-10,33.45,Monthly,Success
S000417,U000310,2025-09-08,34.79,Monthly,Success
S000418,U000310,2025-10-09,33.5,Monthly,Success
S000419,U000312,2024-04-11,11.67,Monthly,Success
S000420,U000312,2024-05-12,11.82,Monthly,Success
S000421,U000312,2024-06-10,12.38,Monthly,Success
S000422,U000312,2024-07-10,12.15,Monthly,Success
S000423,U000312,2024-08-09,11.72,Monthly,Success
S000424,U000312,2024-09-07,12.13,Monthly,Success
S000425,U000315,2025-10-11,33.58,Monthly,Success
S000426,U000315,2025-11-08,33.7,Monthly,Success
S000427,U000317,2025-01-25,34.4,Monthly,Success
S000428,U000317,2025-02-25,34.07,Monthly,Success
S000429,U000317,2025-03-26,33.86,Monthly,Success
S000430,U000317,2025-04-27,36.29,Monthly,Success
S000431,U000317,2025-05-27,35.11,Monthly,Success
S000432,U000318,2024-07-23,118.88,Annual,Success
S000433,U000319,2024-07-03,35.87,Monthly,Success
S000434,U000319,2024-08-03,34.39,Monthly,Success
S000435,U000319,2024-09-02,35.62,Monthly,Failed
S000436,U000319,2024-10-02,35.55,Monthly,Success
S000437,U000319,2024-10-30,34.07,Monthly,Failed
S000438,U000319,2024-11-29,33.53,Monthly,Success
S000439,U000319,2024-12-29,35.17,Monthly,Success
S000440,U000319,2025-01-28,36.5,Monthly,Success
S000441,U000319,2025-02-27,36.43,Monthly,Success
S000442,U000319,2025-03-29,36.6,Monthly,Success
S000443,U000319,2025-04-29,33.42,Monthly,Success
S000444,U000319,2025-05-30,33.39,Monthly,Success
S000445,U000319,2025-06-27,35.94,Monthly,Success
S000446,U000319,2025-07-27,34.99,Monthly,Success
S000447,U000319,2025-08-28,35.93,Monthly,Success
S000448,U000319,2025-09-26,35.48,Monthly,Success
S000449,U000321,2025-04-29,12.22,Monthly,Success
S000450,U000321,2025-05-28,12.4,Monthly,Success
S000451,U000321,2025-06-27,11.5,Monthly,Success
S000452,U000321,2025-07-27,11.52,Monthly,Success
S000453,U000321,2025-08-28,12.52,Monthly,Success
S000454,U000321,2025-09-27,12.1,Monthly,Success
S000455,U000322,2025-08-07,959.74,Annual,Success
S000456,U000324,2024-10-20,334.69,Annual,Success
S000457,U000326,2025-08-18,11.57,Monthly,Success
S000458,U000327,2025-05-05,118.64,Annual,Success
S000459,U000328,2025-06-06,11.69,Monthly,Success
S000460,U000328,2025-07-06,12.56,Monthly,Success
S000461,U000328,2025-08-05,12.38,Monthly,Success
S000462,U000330,2024-09-28,1026.04,Annual,Success
S000463,U000331,2024-12-18,11.52,Monthly,Success
S000464,U000331,2025-01-18,11.8,Monthly,Success
S000465,U000331,2025-02-16,12.43,Monthly,Success
S000466,U000331,2025-03-18,11.5,Monthly,Success
S000467,U000331,2025-04-18,12.59,Monthly,Success
S000468,U000331,2025-05-18,12.04,Monthly,Success
S000469,U000331,2025-06-17,12.28,Monthly,Success
S000470,U000331,2025-07-17,12.07,Monthly,Success
S000471,U000334,2024-05-24,11.57,Monthly,Success
S000472,U000334,2024-06-21,11.89,Monthly,Success
S000473,U000334,2024-07-22,11.77,Monthly,Success
S000474,U000334,2024-08-22,12.35,Monthly,Success
S000475,U000334,2024-09-21,12.06,Monthly,Success
S000476,U000334,2024-10-21,12.18,Monthly,Success
S000477,U000334,2024-11-20,11.86,Monthly,Success
S000478,U000335,2024-03-06,964.78,Annual,Success
S000479,U000335,2025-03-09,950.18,Annual,Success
S000480,U000336,2024-03-01,961.8,Annual,Success
S000481,U000336,2025-02-26,976.38,Annual,Success
S000482,U000337,2025-10-20,349.5,Annual,Success
S000483,U000339,2025-03-12,102.42,Monthly,Success
S000484,U000339,2025-04-10,97.5,Monthly,Success
S000485,U000339,2025-05-10,100.45,Monthly,Success
S000486,U000340,2024-05-03,367.26,Annual,Success
S000487,U000340,2025-05-07,352.07,Annual,Success
S000488,U000350,2025-06-20,120.49,Annual,Success
S000489,U000352,2025-10-22,98.38,Monthly,Success
S000490,U000353,2025-07-03,335.07,Annual,Failed
S000491,U000354,2024-07-08,34.46,Monthly,Success
S000492,U000354,2024-08-08,36.45,Monthly,Success
S000493,U000354,2024-09-06,34.44,Monthly,Refunded
S000494,U000354,2024-10-07,34.07,Monthly,Success
S000495,U000354,2024-11-05,36.15,Monthly,Success
S000496,U000354,2024-12-05,34.23,Monthly,Success
S000497,U000354,2025-01-04,35.49,Monthly,Success
S000498,U000354,2025-02-04,35.5,Monthly,Success
S000499,U000354,2025-03-06,36.56,Monthly,Success
S000500,U000355,2024-04-01,12.04,Monthly,Success
S000501,U000355,2024-05-02,12.56,Monthly,Success
S000502,U000355,2024-05-31,11.78,Monthly,Success
S000503,U000355,2024-07-02,12.3,Monthly,Success
S000504,U000355,2024-07-30,12.5,Monthly,Success
S000505,U000355,2024-08-29,11.83,Monthly,Success
S000506,U000359,2025-12-04,33.8,Monthly,Success
S000507,U000361,2025-01-11,12.14,Monthly,Failed
S000508,U000361,2025-02-10,11.43,Monthly,Success
S000509,U000361,2025-03-13,12.36,Monthly,Success
S000510,U000361,2025-04-11,11.78,Monthly,Success
S000511,U000361,2025-05-12,11.53,Monthly,Success
S000512,U000361,2025-06-11,12.35,Monthly,Success
S000513,U000361,2025-07-10,12.04,Monthly,Success
S000514,U000362,2025-06-30,359.52,Annual,Success
S000515,U000363,2025-03-02,95.95,Monthly,Success
S000516,U000363,2025-03-30,102.47,Monthly,Success
S000517,U000363,2025-05-01,96.41,Monthly,Success
S000518,U000364,2025-04-26,34.24,Monthly,Success
