cohort_month,segment_type,segment,period,cohort_size,retained_users,retention_pct
2024-04-01 00:00:00,overall,all,7,153,129,84.31
2024-04-01 00:00:00,channel,Google Ads,30,42,41,97.62
2025-06-01 00:00:00,channel,Social Media,30,73,71,97.26
2025-05-01 00:00:00,channel,Organic,30,82,81,98.78
2025-08-01 00:00:00,channel,Google Ads,30,71,66,92.96
2025-08-01 00:00:00,channel,Email,30,42,37,88.1
2024-11-01 00:00:00,channel,Google Ads,30,58,58,100.0
2025-10-01 00:00:00,channel,Email,30,50,32,64.0
2025-12-01 00:00:00,channel,Google Ads,30,5,5,100.0
2024-03-01 00:00:00,channel,Organic,30,40,39,97.5
2025-05-01 00:00:00,channel,Email,30,46,44,95.65
2025-01-01 00:00:00,channel,Email,7,28,24,85.71
2025-07-01 00:00:00,channel,Organic,7,101,79,78.22
2025-08-01 00:00:00,channel,Organic,7,99,68,68.69
2024-12-01 00:00:00,channel,Organic,7,77,72,93.51
2024-06-01 00:00:00,channel,Social Media,7,39,35,89.74
2025-03-01 00:00:00,channel,Organic,7,80,76,95.0
2024-02-01 00:00:00,channel,Email,7,22,20,90.91
2024-12-01 00:00:00,channel,Email,7,34,25,73.53
2025-03-01 00:00:00,channel,Email,7,34,26,76.47
2024-08-01 00:00:00,channel,Organic,7,57,55,96.49
2025-02-01 00:00:00,channel,Organic,1,69,26,37.68
2025-07-01 00:00:00,channel,Social Media,1,85,16,18.82
2024-01-01 00:00:00,channel,Organic,1,39,20,51.28
2024-11-01 00:00:00,channel,Organic,1,59,24,40.68
2025-04-01 00:00:00,channel,Social Media,1,63,22,34.92
2024-07-01 00:00:00,channel,Organic,1,61,28,45.9
2024-08-01 00:00:00,channel,Social Media,1,42,14,33.33
2024-05-01 00:00:00,channel,Email,1,23,7,30.43
2024-05-01 00:00:00,channel,Organic,1,38,19,50.0
2024-07-01 00:00:00,channel,Email,1,27,6,22.22
2024-07-01 00:00:00,channel,Google Ads,30,51,49,96.08
2024-03-01 00:00:00,channel,Social Media,30,40,40,100.0
2024-03-01 00:00:00,channel,Email,30,31,31,100.0
2024-12-01 00:00:00,channel,Google Ads,30,78,76,97.44
2024-10-01 00:00:00,channel,Organic,30,68,66,97.06
2024-08-01 00:00:00,channel,Email,30,27,25,92.59
2024-01-01 00:00:00,channel,Google Ads,30,27,27,100.0
2025-06-01 00:00:00,channel,Google Ads,30,70,63,90.0
2024-05-01 00:00:00,channel,Social Media,30,45,45,100.0
2025-11-01 00:00:00,channel,Email,30,44,28,63.64
2024-04-01 00:00:00,channel,Email,30,30,30,100.0
2024-12-01 00:00:00,channel,Social Media,30,56,56,100.0
2024-09-01 00:00:00,channel,Email,30,28,28,100.0
2025-02-01 00:00:00,channel,Organic,7,69,58,84.06
2025-07-01 00:00:00,channel,Social Media,7,85,69,81.18
2024-01-01 00:00:00,channel,Organic,7,39,38,97.44
2024-11-01 00:00:00,channel,Organic,7,59,53,89.83
2025-04-01 00:00:00,channel,Social Media,7,63,53,84.13
2024-07-01 00:00:00,channel,Organic,7,61,59,96.72
2024-08-01 00:00:00,channel,Social Media,7,42,34,80.95
2024-05-01 00:00:00,channel,Email,7,23,17,73.91
2024-05-01 00:00:00,channel,Organic,7,38,34,89.47
2024-07-01 00:00:00,channel,Email,7,27,24,88.89
2025-01-01 00:00:00,channel,Email,1,28,4,14.29
2025-07-01 00:00:00,channel,Organic,1,101,29,28.71
2025-08-01 00:00:00,channel,Organic,1,99,19,19.19
2024-12-01 00:00:00,channel,Organic,1,77,29,37.66
2024-06-01 00:00:00,channel,Social Media,1,39,19,48.72
2025-03-01 00:00:00,channel,Organic,1,80,32,40.0
2024-02-01 00:00:00,channel,Email,1,22,6,27.27
2024-12-01 00:00:00,channel,Email,1,34,9,26.47
2025-03-01 00:00:00,channel,Email,1,34,8,23.53
2024-08-01 00:00:00,channel,Organic,1,57,25,43.86
2025-07-01 00:00:00,channel,Email,30,55,50,90.91
2025-11-01 00:00:00,channel,Google Ads,30,91,59,64.84
2024-06-01 00:00:00,channel,Organic,30,61,61,100.0
2025-06-01 00:00:00,channel,Email,30,42,40,95.24
2024-01-01 00:00:00,channel,Email,30,14,13,92.86
2025-01-01 00:00:00,channel,Social Media,30,62,62,100.0
2025-01-01 00:00:00,channel,Organic,30,72,72,100.0
2025-02-01 00:00:00,channel,Google Ads,30,70,69,98.57
2024-11-01 00:00:00,channel,Social Media,30,56,56,100.0
2025-10-01 00:00:00,channel,Organic,30,97,86,88.66
2025-04-01 00:00:00,channel,Google Ads,30,63,61,96.83
2025-04-01 00:00:00,channel,Email,30,44,41,93.18
2025-11-01 00:00:00,channel,Social Media,30,71,57,80.28
2025-08-01 00:00:00,channel,Social Media,30,74,72,97.3
2025-02-01 00:00:00,channel,Email,30,42,41,97.62
2024-08-01 00:00:00,channel,Google Ads,30,48,48,100.0
2025-02-01 00:00:00,channel,Social Media,30,40,39,97.5
2024-02-01 00:00:00,channel,Social Media,30,33,33,100.0
2024-10-01 00:00:00,channel,Google Ads,7,61,50,81.97
2025-04-01 00:00:00,channel,Organic,7,75,64,85.33
2024-11-01 00:00:00,channel,Email,7,30,24,80.0
2025-12-01 00:00:00,channel,Organic,7,82,24,29.27
2024-04-01 00:00:00,channel,Organic,7,41,39,95.12
2024-06-01 00:00:00,channel,Email,7,21,17,80.95
2025-01-01 00:00:00,channel,Google Ads,7,87,75,86.21
2024-02-01 00:00:00,channel,Google Ads,7,34,28,82.35
2025-03-01 00:00:00,channel,Social Media,7,63,51,80.95
2024-09-01 00:00:00,channel,Google Ads,7,61,53,86.89
2025-09-01 00:00:00,channel,Social Media,7,77,40,51.95
2024-10-01 00:00:00,channel,Social Media,7,47,43,91.49
2024-02-01 00:00:00,channel,Organic,1,39,22,56.41
2025-09-01 00:00:00,channel,Organic,1,87,10,11.49
2024-05-01 00:00:00,channel,Google Ads,1,47,15,31.91
2024-09-01 00:00:00,channel,Social Media,1,49,26,53.06
2025-10-01 00:00:00,channel,Google Ads,1,104,4,3.85
2024-04-01 00:00:00,channel,Social Media,1,40,14,35.0
2024-09-01 00:00:00,channel,Organic,1,52,18,34.62
2024-10-01 00:00:00,channel,Email,1,36,10,27.78
2025-09-01 00:00:00,channel,Email,1,54,2,3.7
2025-11-01 00:00:00,channel,Organic,1,91,8,8.79
2024-02-01 00:00:00,channel,Organic,30,39,39,100.0
2025-09-01 00:00:00,channel,Organic,30,87,84,96.55
2024-05-01 00:00:00,channel,Google Ads,30,47,47,100.0
2024-09-01 00:00:00,channel,Social Media,30,49,49,100.0
2025-10-01 00:00:00,channel,Google Ads,30,104,86,82.69
2024-04-01 00:00:00,channel,Social Media,30,40,38,95.0
2024-09-01 00:00:00,channel,Organic,30,52,50,96.15
2024-10-01 00:00:00,channel,Email,30,36,36,100.0
2025-09-01 00:00:00,channel,Email,30,54,44,81.48
2025-11-01 00:00:00,channel,Organic,30,91,72,79.12
2024-01-01 00:00:00,channel,Social Media,7,38,35,92.11
2025-05-01 00:00:00,channel,Google Ads,7,86,70,81.4
2025-03-01 00:00:00,channel,Google Ads,7,65,53,81.54
2025-07-01 00:00:00,channel,Google Ads,7,81,57,70.37
2025-12-01 00:00:00,channel,Social Media,7,60,17,28.33
2025-06-01 00:00:00,channel,Organic,7,88,70,79.55
2025-10-01 00:00:00,channel,Social Media,7,71,35,49.3
2025-05-01 00:00:00,channel,Social Media,7,79,75,94.94
2024-07-01 00:00:00,channel,Social Media,7,52,50,96.15
2025-09-01 00:00:00,channel,Google Ads,7,85,50,58.82
2024-03-01 00:00:00,channel,Google Ads,7,51,43,84.31
2025-12-01 00:00:00,channel,Email,7,41,10,24.39
2024-06-01 00:00:00,channel,Google Ads,7,41,38,92.68
2025-07-01 00:00:00,channel,Email,1,55,9,16.36
2025-11-01 00:00:00,channel,Google Ads,1,91,5,5.49
2024-06-01 00:00:00,channel,Organic,1,61,21,34.43
2025-06-01 00:00:00,channel,Email,1,42,5,11.9
2024-01-01 00:00:00,channel,Email,1,14,1,7.14
2025-01-01 00:00:00,channel,Social Media,1,62,25,40.32
2025-01-01 00:00:00,channel,Organic,1,72,36,50.0
2025-02-01 00:00:00,channel,Google Ads,1,70,18,25.71
2024-11-01 00:00:00,channel,Social Media,1,56,18,32.14
2025-10-01 00:00:00,channel,Organic,1,97,8,8.25
2025-04-01 00:00:00,channel,Google Ads,1,63,15,23.81
2025-04-01 00:00:00,channel,Email,1,44,8,18.18
2025-11-01 00:00:00,channel,Social Media,1,71,5,7.04
2025-08-01 00:00:00,channel,Social Media,1,74,16,21.62
2025-02-01 00:00:00,channel,Email,1,42,7,16.67
2024-08-01 00:00:00,channel,Google Ads,1,48,15,31.25
2025-02-01 00:00:00,channel,Social Media,1,40,14,35.0
2024-02-01 00:00:00,channel,Social Media,1,33,14,42.42
2024-01-01 00:00:00,channel,Social Media,30,38,38,100.0
2025-05-01 00:00:00,channel,Google Ads,30,86,85,98.84
2025-03-01 00:00:00,channel,Google Ads,30,65,64,98.46
2025-07-01 00:00:00,channel,Google Ads,30,81,78,96.3
2025-12-01 00:00:00,channel,Social Media,30,1,1,100.0
2025-06-01 00:00:00,channel,Organic,30,88,86,97.73
2025-10-01 00:00:00,channel,Social Media,30,71,61,85.92
2025-05-01 00:00:00,channel,Social Media,30,79,78,98.73
2024-07-01 00:00:00,channel,Social Media,30,52,52,100.0
2025-09-01 00:00:00,channel,Google Ads,30,85,76,89.41
2024-03-01 00:00:00,channel,Google Ads,30,51,49,96.08
2025-12-01 00:00:00,channel,Email,30,0,0,
2024-06-01 00:00:00,channel,Google Ads,30,41,41,100.0
2024-02-01 00:00:00,channel,Organic,7,39,36,92.31
2025-09-01 00:00:00,channel,Organic,7,87,57,65.52
2024-05-01 00:00:00,channel,Google Ads,7,47,43,91.49
2024-09-01 00:00:00,channel,Social Media,7,49,46,93.88
2025-10-01 00:00:00,channel,Google Ads,7,104,42,40.38
2024-04-01 00:00:00,channel,Social Media,7,40,35,87.5
2024-09-01 00:00:00,channel,Organic,7,52,45,86.54
2024-10-01 00:00:00,channel,Email,7,36,31,86.11
2025-09-01 00:00:00,channel,Email,7,54,17,31.48
2025-11-01 00:00:00,channel,Organic,7,91,37,40.66
2024-10-01 00:00:00,channel,Google Ads,1,61,13,21.31
2025-04-01 00:00:00,channel,Organic,1,75,19,25.33
2024-11-01 00:00:00,channel,Email,1,30,8,26.67
2025-12-01 00:00:00,channel,Organic,1,97,9,9.28
2024-04-01 00:00:00,channel,Organic,1,41,12,29.27
2024-06-01 00:00:00,channel,Email,1,21,5,23.81
2025-01-01 00:00:00,channel,Google Ads,1,87,26,29.89
2024-02-01 00:00:00,channel,Google Ads,1,34,17,50.0
2025-03-01 00:00:00,channel,Social Media,1,63,16,25.4
2024-09-01 00:00:00,channel,Google Ads,1,61,15,24.59
2025-09-01 00:00:00,channel,Social Media,1,77,12,15.58
2024-10-01 00:00:00,channel,Social Media,1,47,14,29.79
2025-02-01 00:00:00,channel,Organic,30,69,69,100.0
2025-07-01 00:00:00,channel,Social Media,30,85,83,97.65
2024-01-01 00:00:00,channel,Organic,30,39,39,100.0
2024-11-01 00:00:00,channel,Organic,30,59,58,98.31
2025-04-01 00:00:00,channel,Social Media,30,63,62,98.41
2024-07-01 00:00:00,channel,Organic,30,61,61,100.0
2024-08-01 00:00:00,channel,Social Media,30,42,41,97.62
2024-05-01 00:00:00,channel,Email,30,23,23,100.0
2024-05-01 00:00:00,channel,Organic,30,38,37,97.37
2024-07-01 00:00:00,channel,Email,30,27,27,100.0
2024-07-01 00:00:00,channel,Google Ads,7,51,41,80.39
2024-03-01 00:00:00,channel,Social Media,7,40,37,92.5
2024-03-01 00:00:00,channel,Email,7,31,26,83.87
2024-12-01 00:00:00,channel,Google Ads,7,78,67,85.9
2024-10-01 00:00:00,channel,Organic,7,68,61,89.71
2024-08-01 00:00:00,channel,Email,7,27,20,74.07
2024-01-01 00:00:00,channel,Google Ads,7,27,26,96.3
2025-06-01 00:00:00,channel,Google Ads,7,70,51,72.86
2024-05-01 00:00:00,channel,Social Media,7,45,44,97.78
2025-11-01 00:00:00,channel,Email,7,44,12,27.27
2024-04-01 00:00:00,channel,Email,7,30,21,70.0
2024-12-01 00:00:00,channel,Social Media,7,56,51,91.07
2024-09-01 00:00:00,channel,Email,7,28,20,71.43
2024-04-01 00:00:00,channel,Google Ads,1,42,14,33.33
2025-06-01 00:00:00,channel,Social Media,1,73,17,23.29
2025-05-01 00:00:00,channel,Organic,1,82,21,25.61
2025-08-01 00:00:00,channel,Google Ads,1,71,9,12.68
2025-08-01 00:00:00,channel,Email,1,42,4,9.52
2024-11-01 00:00:00,channel,Google Ads,1,58,22,37.93
2025-10-01 00:00:00,channel,Email,1,50,0,0.0
2025-12-01 00:00:00,channel,Google Ads,1,123,7,5.69
2024-03-01 00:00:00,channel,Organic,1,40,21,52.5
2025-05-01 00:00:00,channel,Email,1,46,6,13.04
2025-01-01 00:00:00,channel,Email,30,28,27,96.43
2025-07-01 00:00:00,channel,Organic,30,101,98,97.03
2025-08-01 00:00:00,channel,Organic,30,99,94,94.95
2024-12-01 00:00:00,channel,Organic,30,77,77,100.0
2024-06-01 00:00:00,channel,Social Media,30,39,39,100.0
2025-03-01 00:00:00,channel,Organic,30,80,79,98.75
2024-02-01 00:00:00,channel,Email,30,22,22,100.0
2024-12-01 00:00:00,channel,Email,30,34,32,94.12
2025-03-01 00:00:00,channel,Email,30,34,33,97.06
2024-08-01 00:00:00,channel,Organic,30,57,57,100.0
2024-04-01 00:00:00,channel,Google Ads,7,42,34,80.95
2025-06-01 00:00:00,channel,Social Media,7,73,60,82.19
2025-05-01 00:00:00,channel,Organic,7,82,73,89.02
2025-08-01 00:00:00,channel,Google Ads,7,71,46,64.79
2025-08-01 00:00:00,channel,Email,7,42,19,45.24
2024-11-01 00:00:00,channel,Google Ads,7,58,50,86.21
2025-10-01 00:00:00,channel,Email,7,50,14,28.0
2025-12-01 00:00:00,channel,Google Ads,7,99,31,31.31
2024-03-01 00:00:00,channel,Organic,7,40,36,90.0
2025-05-01 00:00:00,channel,Email,7,46,29,63.04
2024-07-01 00:00:00,channel,Google Ads,1,51,14,27.45
2024-03-01 00:00:00,channel,Social Media,1,40,13,32.5
2024-03-01 00:00:00,channel,Email,1,31,10,32.26
2024-12-01 00:00:00,channel,Google Ads,1,78,23,29.49
2024-10-01 00:00:00,channel,Organic,1,68,25,36.76
2024-08-01 00:00:00,channel,Email,1,27,6,22.22
2024-01-01 00:00:00,channel,Google Ads,1,27,10,37.04
2025-06-01 00:00:00,channel,Google Ads,1,70,14,20.0
2024-05-01 00:00:00,channel,Social Media,1,45,20,44.44
2025-11-01 00:00:00,channel,Email,1,44,3,6.82
2024-04-01 00:00:00,channel,Email,1,30,9,30.0
2024-12-01 00:00:00,channel,Social Media,1,56,29,51.79
2024-09-01 00:00:00,channel,Email,1,28,4,14.29
2024-10-01 00:00:00,channel,Google Ads,30,61,59,96.72
2025-04-01 00:00:00,channel,Organic,30,75,73,97.33
2024-11-01 00:00:00,channel,Email,30,30,29,96.67
2025-12-01 00:00:00,channel,Organic,30,5,4,80.0
2024-04-01 00:00:00,channel,Organic,30,41,40,97.56
2024-06-01 00:00:00,channel,Email,30,21,21,100.0
2025-01-01 00:00:00,channel,Google Ads,30,87,84,96.55
2024-02-01 00:00:00,channel,Google Ads,30,34,34,100.0
2025-03-01 00:00:00,channel,Social Media,30,63,62,98.41
2024-09-01 00:00:00,channel,Google Ads,30,61,60,98.36
2025-09-01 00:00:00,channel,Social Media,30,77,67,87.01
2024-10-01 00:00:00,channel,Social Media,30,47,46,97.87
2025-07-01 00:00:00,channel,Email,7,55,34,61.82
2025-11-01 00:00:00,channel,Google Ads,7,91,23,25.27
2024-06-01 00:00:00,channel,Organic,7,61,56,91.8
2025-06-01 00:00:00,channel,Email,7,42,23,54.76
2024-01-01 00:00:00,channel,Email,7,14,11,78.57
2025-01-01 00:00:00,channel,Social Media,7,62,56,90.32
2025-01-01 00:00:00,channel,Organic,7,72,69,95.83
2025-02-01 00:00:00,channel,Google Ads,7,70,59,84.29
2024-11-01 00:00:00,channel,Social Media,7,56,51,91.07
2025-10-01 00:00:00,channel,Organic,7,97,48,49.48
2025-04-01 00:00:00,channel,Google Ads,7,63,47,74.6
2025-04-01 00:00:00,channel,Email,7,44,27,61.36
2025-11-01 00:00:00,channel,Social Media,7,71,24,33.8
2025-08-01 00:00:00,channel,Social Media,7,74,52,70.27
2025-02-01 00:00:00,channel,Email,7,42,34,80.95
2024-08-01 00:00:00,channel,Google Ads,7,48,38,79.17
2025-02-01 00:00:00,channel,Social Media,7,40,33,82.5
2024-02-01 00:00:00,channel,Social Media,7,33,31,93.94
2024-01-01 00:00:00,channel,Social Media,1,38,18,47.37
2025-05-01 00:00:00,channel,Google Ads,1,86,20,23.26
2025-03-01 00:00:00,channel,Google Ads,1,65,15,23.08
2025-07-01 00:00:00,channel,Google Ads,1,81,16,19.75
2025-12-01 00:00:00,channel,Social Media,1,75,2,2.67
2025-06-01 00:00:00,channel,Organic,1,88,18,20.45
2025-10-01 00:00:00,channel,Social Media,1,71,11,15.49
2025-05-01 00:00:00,channel,Social Media,1,79,25,31.65
2024-07-01 00:00:00,channel,Social Media,1,52,23,44.23
2025-09-01 00:00:00,channel,Google Ads,1,85,12,14.12
2024-03-01 00:00:00,channel,Google Ads,1,51,17,33.33
2025-12-01 00:00:00,channel,Email,1,55,1,1.82
2024-06-01 00:00:00,channel,Google Ads,1,41,14,34.15
2025-03-01 00:00:00,tier,Free,30,132,130,98.48
2025-10-01 00:00:00,tier,Free,30,166,128,77.11
2024-10-01 00:00:00,tier,Free,30,110,106,96.36
2024-11-01 00:00:00,tier,Paid,30,109,108,99.08
2025-09-01 00:00:00,tier,Free,30,151,124,82.12
2024-11-01 00:00:00,tier,Free,30,94,93,98.94
2025-10-01 00:00:00,tier,Paid,7,156,87,55.77
2025-04-01 00:00:00,tier,Free,7,117,82,70.09
2025-02-01 00:00:00,tier,Paid,7,103,100,97.09
2024-06-01 00:00:00,tier,Free,7,81,68,83.95
2024-08-01 00:00:00,tier,Paid,7,89,80,89.89
2025-06-01 00:00:00,tier,Free,7,131,83,63.36
2024-03-01 00:00:00,tier,Free,7,80,67,83.75
2024-06-01 00:00:00,tier,Paid,7,81,78,96.3
2025-09-01 00:00:00,tier,Paid,7,152,101,66.45
2024-12-01 00:00:00,tier,Free,7,120,94,78.33
2025-12-01 00:00:00,tier,Free,1,172,6,3.49
2025-05-01 00:00:00,tier,Paid,1,141,44,31.21
2024-05-01 00:00:00,tier,Paid,1,93,42,45.16
2025-11-01 00:00:00,tier,Free,1,139,6,4.32
2025-04-01 00:00:00,tier,Paid,1,128,46,35.94
2025-11-01 00:00:00,tier,Paid,1,158,15,9.49
2024-09-01 00:00:00,tier,Free,1,94,17,18.09
2024-04-01 00:00:00,tier,Free,30,86,84,97.67
2024-02-01 00:00:00,tier,Paid,30,72,72,100.0
2025-07-01 00:00:00,tier,Free,30,159,149,93.71
2024-09-01 00:00:00,tier,Paid,30,96,95,98.96
2024-10-01 00:00:00,tier,Paid,30,102,101,99.02
2024-12-01 00:00:00,tier,Paid,7,125,121,96.8
2025-08-01 00:00:00,tier,Free,7,137,64,46.72
2024-03-01 00:00:00,tier,Paid,7,82,75,91.46
2024-01-01 00:00:00,tier,Paid,7,63,61,96.83
2025-02-01 00:00:00,tier,Free,7,118,84,71.19
2025-07-01 00:00:00,tier,Paid,7,163,138,84.66
2025-03-01 00:00:00,tier,Paid,1,110,43,39.09
2025-06-01 00:00:00,tier,Paid,30,142,137,96.48
2024-08-01 00:00:00,tier,Free,30,85,84,98.82
2024-07-01 00:00:00,tier,Paid,30,103,103,100.0
2024-05-01 00:00:00,tier,Free,30,60,59,98.33
2025-05-01 00:00:00,tier,Free,30,152,149,98.03
2025-12-01 00:00:00,tier,Free,7,139,36,25.9
2025-05-01 00:00:00,tier,Paid,7,141,129,91.49
2024-05-01 00:00:00,tier,Paid,7,93,90,96.77
2025-11-01 00:00:00,tier,Free,7,139,27,19.42
2025-04-01 00:00:00,tier,Paid,7,128,109,85.16
2025-11-01 00:00:00,tier,Paid,7,158,69,43.67
2024-09-01 00:00:00,tier,Free,7,94,76,80.85
2025-10-01 00:00:00,tier,Paid,1,156,18,11.54
2025-04-01 00:00:00,tier,Free,1,117,18,15.38
2025-02-01 00:00:00,tier,Paid,1,103,42,40.78
2024-06-01 00:00:00,tier,Free,1,81,21,25.93
2024-08-01 00:00:00,tier,Paid,1,89,38,42.7
2025-06-01 00:00:00,tier,Free,1,131,17,12.98
2024-03-01 00:00:00,tier,Free,1,80,24,30.0
2024-06-01 00:00:00,tier,Paid,1,81,38,46.91
2025-09-01 00:00:00,tier,Paid,1,152,25,16.45
2024-12-01 00:00:00,tier,Free,1,120,33,27.5
2025-02-01 00:00:00,tier,Free,30,118,116,98.31
2025-07-01 00:00:00,tier,Paid,30,163,160,98.16
2024-03-01 00:00:00,tier,Paid,30,82,81,98.78
2024-01-01 00:00:00,tier,Paid,30,63,63,100.0
2025-08-01 00:00:00,tier,Free,30,137,123,89.78
2024-12-01 00:00:00,tier,Paid,30,125,125,100.0
2025-07-01 00:00:00,tier,Free,7,159,101,63.52
2024-10-01 00:00:00,tier,Paid,7,102,94,92.16
2024-04-01 00:00:00,tier,Free,7,86,67,77.91
2024-02-01 00:00:00,tier,Paid,7,72,71,98.61
2024-09-01 00:00:00,tier,Paid,7,96,88,91.67
2024-07-01 00:00:00,tier,Free,1,88,19,21.59
2025-08-01 00:00:00,tier,Paid,1,149,37,24.83
2025-12-01 00:00:00,tier,Paid,1,178,13,7.3
2024-02-01 00:00:00,tier,Free,1,56,17,30.36
2025-01-01 00:00:00,tier,Paid,1,130,65,50.0
2024-04-01 00:00:00,tier,Paid,1,67,29,43.28
2024-01-01 00:00:00,tier,Free,1,55,18,32.73
2025-01-01 00:00:00,tier,Free,1,119,26,21.85
2024-07-01 00:00:00,tier,Free,30,88,86,97.73
2025-01-01 00:00:00,tier,Free,30,119,117,98.32
2025-08-01 00:00:00,tier,Paid,30,149,146,97.99
2025-12-01 00:00:00,tier,Paid,30,7,6,85.71
2025-01-01 00:00:00,tier,Paid,30,130,128,98.46
2024-04-01 00:00:00,tier,Paid,30,67,65,97.01
2024-02-01 00:00:00,tier,Free,30,56,56,100.0
2024-01-01 00:00:00,tier,Free,30,55,54,98.18
2025-03-01 00:00:00,tier,Paid,7,110,103,93.64
2024-12-01 00:00:00,tier,Paid,1,125,57,45.6
2025-08-01 00:00:00,tier,Free,1,137,11,8.03
2024-03-01 00:00:00,tier,Paid,1,82,37,45.12
2024-01-01 00:00:00,tier,Paid,1,63,31,49.21
2025-02-01 00:00:00,tier,Free,1,118,23,19.49
2025-07-01 00:00:00,tier,Paid,1,163,50,30.67
2025-12-01 00:00:00,tier,Free,30,4,4,100.0
2025-04-01 00:00:00,tier,Paid,30,128,125,97.66
2025-11-01 00:00:00,tier,Free,30,139,85,61.15
2024-09-01 00:00:00,tier,Free,30,94,92,97.87
2025-05-01 00:00:00,tier,Paid,30,141,139,98.58
2025-11-01 00:00:00,tier,Paid,30,158,131,82.91
2024-05-01 00:00:00,tier,Paid,30,93,93,100.0
2024-07-01 00:00:00,tier,Paid,7,103,98,95.15
2024-08-01 00:00:00,tier,Free,7,85,67,78.82
2025-06-01 00:00:00,tier,Paid,7,142,121,85.21
2024-05-01 00:00:00,tier,Free,7,60,48,80.0
2025-05-01 00:00:00,tier,Free,7,152,118,77.63
2025-10-01 00:00:00,tier,Free,1,166,5,3.01
2024-11-01 00:00:00,tier,Paid,1,109,46,42.2
2024-10-01 00:00:00,tier,Free,1,110,24,21.82
