cohort_month,months_since_register,cohort_users,active_users,retention_pct
2025-03-01 00:00:00,7,242,2,0.83
2024-05-01 00:00:00,8,153,1,0.65
2024-04-01 00:00:00,7,153,1,0.65
2024-10-01 00:00:00,7,212,2,0.94
2024-01-01 00:00:00,11,118,1,0.85
2024-05-01 00:00:00,7,153,3,1.96
2024-10-01 00:00:00,8,212,2,0.94
2024-07-01 00:00:00,0,191,180,94.24
2025-06-01 00:00:00,0,273,228,83.52
2025-12-01 00:00:00,0,356,356,100.0
2025-05-01 00:00:00,2,293,194,66.21
2024-09-01 00:00:00,1,190,182,95.79
2025-01-01 00:00:00,1,249,236,94.78
2024-12-01 00:00:00,3,245,119,48.57
2024-10-01 00:00:00,4,212,60,28.3
2025-02-01 00:00:00,0,221,190,85.97
2024-05-01 00:00:00,4,153,40,26.14
2024-06-01 00:00:00,3,162,84,51.85
2024-11-01 00:00:00,6,203,12,5.91
2024-11-01 00:00:00,3,203,104,51.23
2024-04-01 00:00:00,4,153,26,16.99
2025-03-01 00:00:00,4,242,52,21.49
2025-04-01 00:00:00,5,245,11,4.49
2024-03-01 00:00:00,7,162,4,2.47
2025-07-01 00:00:00,4,322,33,10.25
2024-06-01 00:00:00,6,162,7,4.32
2024-12-01 00:00:00,6,245,8,3.27
2025-05-01 00:00:00,3,293,123,41.98
2025-04-01 00:00:00,1,245,228,93.06
2024-03-01 00:00:00,0,162,143,88.27
2024-12-01 00:00:00,2,245,189,77.14
2025-08-01 00:00:00,4,286,42,14.69
2024-06-01 00:00:00,2,162,126,77.78
2024-11-01 00:00:00,2,203,168,82.76
2024-07-01 00:00:00,7,191,3,1.57
2025-09-01 00:00:00,0,303,204,67.33
2024-01-01 00:00:00,4,118,36,30.51
2024-08-01 00:00:00,4,174,50,28.74
2025-01-01 00:00:00,5,249,27,10.84
2024-02-01 00:00:00,4,128,37,28.91
2024-09-01 00:00:00,5,190,16,8.42
2025-02-01 00:00:00,7,221,4,1.81
2025-05-01 00:00:00,6,293,6,2.05
2024-03-01 00:00:00,11,162,1,0.62
2024-07-01 00:00:00,8,191,1,0.52
2024-02-01 00:00:00,1,128,124,96.88
2024-03-01 00:00:00,2,162,126,77.78
2025-09-01 00:00:00,2,303,132,43.56
2024-07-01 00:00:00,3,191,100,52.36
2025-08-01 00:00:00,1,286,233,81.47
2025-02-01 00:00:00,3,221,97,43.89
2024-06-01 00:00:00,0,162,152,93.83
2025-06-01 00:00:00,3,273,84,30.77
2025-10-01 00:00:00,1,322,207,64.29
2024-01-01 00:00:00,1,118,111,94.07
2024-10-01 00:00:00,5,212,18,8.49
2024-08-01 00:00:00,1,174,171,98.28
2024-07-01 00:00:00,6,191,14,7.33
2024-12-01 00:00:00,0,245,221,90.2
2024-05-01 00:00:00,5,153,18,11.76
2025-06-01 00:00:00,6,273,7,2.56
2024-11-01 00:00:00,0,203,188,92.61
2025-04-01 00:00:00,4,245,43,17.55
2025-07-01 00:00:00,5,322,18,5.59
2025-03-01 00:00:00,5,242,26,10.74
2025-02-01 00:00:00,6,221,6,2.71
2025-05-01 00:00:00,7,293,4,1.37
2024-04-01 00:00:00,5,153,9,5.88
2025-04-01 00:00:00,3,245,95,38.78
2024-04-01 00:00:00,0,153,138,90.2
2025-11-01 00:00:00,0,297,151,50.84
2024-07-01 00:00:00,4,191,47,24.61
2025-05-01 00:00:00,1,293,261,89.08
2025-01-01 00:00:00,2,249,196,78.71
2025-06-01 00:00:00,4,273,34,12.45
2025-07-01 00:00:00,0,322,275,85.4
2024-05-01 00:00:00,0,153,142,92.81
2024-10-01 00:00:00,0,212,194,91.51
2025-03-01 00:00:00,0,242,211,87.19
2024-11-01 00:00:00,5,203,24,11.82
2025-02-01 00:00:00,4,221,48,21.72
2024-09-01 00:00:00,2,190,144,75.79
2024-12-01 00:00:00,5,245,22,8.98
2024-02-01 00:00:00,8,128,2,1.56
2025-04-01 00:00:00,6,245,4,1.63
2024-06-01 00:00:00,5,162,24,14.81
2024-01-01 00:00:00,7,118,2,1.69
2024-12-01 00:00:00,9,245,1,0.41
2024-01-01 00:00:00,8,118,1,0.85
2024-08-01 00:00:00,8,174,3,1.72
2024-08-01 00:00:00,7,174,4,2.3
2024-11-01 00:00:00,9,203,2,0.99
